rr_raceId,rr_year,rr_round,rr_positionNumber,rr_laps,rr_gapMillis,rr_intervalMillis,rr_qualificationPositionNumber,rr_gridPositionNumber,rr_positionsGained,rr_pitStops,rr_fastestLap,pr1_positionNumber,pr1_gapMillis,pr1_intervalMillis,pr1_laps,pr2_positionNumber,pr2_gapMillis,pr2_intervalMillis,pr2_laps,qr_positionNumber,qr_gapMillis,qr_intervalMillis,qr_laps,pr3_positionNumber,pr3_gapMillis,pr3_intervalMillis,pr3_laps,qr_q1Seconds,qr_q2Seconds,qr_q3Seconds,rr_timeSeconds,pr1_timeSeconds,pr2_timeSeconds,pr3_timeSeconds,rr_driverId_adrian-sutil,rr_driverId_alexander-albon,rr_driverId_alexander-rossi,rr_driverId_antonio-giovinazzi,rr_driverId_brendon-hartley,rr_driverId_carlos-sainz-jr,rr_driverId_charles-leclerc,rr_driverId_daniel-ricciardo,rr_driverId_daniil-kvyat,rr_driverId_esteban-gutierrez,rr_driverId_esteban-ocon,rr_driverId_felipe-massa,rr_driverId_felipe-nasr,rr_driverId_fernando-alonso,rr_driverId_franco-colapinto,rr_driverId_george-russell,rr_driverId_guanyu-zhou,rr_driverId_jack-aitken,rr_driverId_jack-doohan,rr_driverId_jean-eric-vergne,rr_driverId_jenson-button,rr_driverId_jolyon-palmer,rr_driverId_jules-bianchi,rr_driverId_kamui-kobayashi,rr_driverId_kevin-magnussen,rr_driverId_kimi-raikkonen,rr_driverId_lance-stroll,rr_driverId_lando-norris,rr_driverId_lewis-hamilton,rr_driverId_liam-lawson,rr_driverId_logan-sargeant,rr_driverId_marcus-ericsson,rr_driverId_max-chilton,rr_driverId_max-verstappen,rr_driverId_mick-schumacher,rr_driverId_nicholas-latifi,rr_driverId_nico-hulkenberg,rr_driverId_nico-rosberg,rr_driverId_nikita-mazepin,rr_driverId_nyck-de-vries,rr_driverId_oliver-bearman,rr_driverId_oscar-piastri,rr_driverId_pascal-wehrlein,rr_driverId_pastor-maldonado,rr_driverId_pierre-gasly,rr_driverId_pietro-fittipaldi,rr_driverId_rio-haryanto,rr_driverId_robert-kubica,rr_driverId_roberto-merhi,rr_driverId_romain-grosjean,rr_driverId_sebastian-vettel,rr_driverId_sergey-sirotkin,rr_driverId_sergio-perez,rr_driverId_stoffel-vandoorne,rr_driverId_valtteri-bottas,rr_driverId_will-stevens,rr_driverId_yuki-tsunoda,rr_constructorId_alfa-romeo,rr_constructorId_alphatauri,rr_constructorId_alpine,rr_constructorId_aston-martin,rr_constructorId_caterham,rr_constructorId_ferrari,rr_constructorId_force-india,rr_constructorId_haas,rr_constructorId_kick-sauber,rr_constructorId_lotus-f1,rr_constructorId_manor,rr_constructorId_marussia,rr_constructorId_mclaren,rr_constructorId_mercedes,rr_constructorId_racing-point,rr_constructorId_rb,rr_constructorId_red-bull,rr_constructorId_renault,rr_constructorId_sauber,rr_constructorId_toro-rosso,rr_constructorId_williams,rr_engineManufacturerId_bwt-mercedes,rr_engineManufacturerId_ferrari,rr_engineManufacturerId_honda,rr_engineManufacturerId_honda-rbpt,rr_engineManufacturerId_mercedes,rr_engineManufacturerId_rbpt,rr_engineManufacturerId_renault,rr_engineManufacturerId_tag-heuer,rr_engineManufacturerId_toro-rosso,circuitId_austin,circuitId_bahrain,circuitId_baku,circuitId_catalunya,circuitId_hockenheimring,circuitId_hungaroring,circuitId_imola,circuitId_interlagos,circuitId_istanbul,circuitId_jeddah,circuitId_las-vegas,circuitId_losail,circuitId_marina-bay,circuitId_melbourne,circuitId_mexico-city,circuitId_miami,circuitId_monaco,circuitId_montreal,circuitId_monza,circuitId_mugello,circuitId_nurburgring,circuitId_paul-ricard,circuitId_portimao,circuitId_sepang,circuitId_shanghai,circuitId_silverstone,circuitId_sochi,circuitId_spa-francorchamps,circuitId_spielberg,circuitId_suzuka,circuitId_yas-marina,circuitId_zandvoort
923,2015,7,4,70,45625,4959,3,3,-1,2,1.0,12,2227,114,26,3,322,6,20,3,621,312,19,2,573,573,20,76.259,75.348,75.014,5558.77,78.439,76.31,76.233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
945,2016,10,5,52,69743,43532,5,5,0,2,0.0,6,1385,266,28,5,1076,166,38,5,1594,263,15,9,1929,35,13,91.326,91.385,90.881,5765.574,93.039,92.736,92.833,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
947,2016,12,6,67,37023,4453,5,5,-1,3,0.0,4,1335,185,23,6,898,22,45,5,779,308,12,4,164,65,16,75.752,75.242,75.142,5481.223,76.852,76.512,75.902,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
949,2016,14,4,53,27561,6571,4,4,0,2,0.0,3,1088,885,16,4,626,173,28,4,930,93,15,4,1141,203,12,83.217,82.568,82.065,4675.65,84.047,83.427,83.149,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
950,2016,15,4,61,10219,2181,5,5,1,4,0.0,6,1067,377,20,2,275,275,34,5,956,212,12,3,508,449,15,104.964,104.159,103.54,6959.169,106.89,104.427,104.86,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
951,2016,16,4,56,28785,3269,6,6,2,3,0.0,3,1088,594,16,4,898,237,31,6,782,48,16,4,716,97,15,94.556,93.903,93.632,5861.561,96.315,95.842,95.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
952,2016,17,5,53,28370,8101,3,8,3,2,0.0,4,1386,292,17,3,323,251,26,3,302,289,12,5,919,227,12,91.674,91.406,90.949,5231.703,93.817,92.573,93.011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
954,2016,19,6,71,49376,22063,6,6,0,2,0.0,3,158,79,19,4,469,34,37,6,672,46,21,7,857,57,16,79.554,79.936,79.376,6080.778,81.072,80.259,79.994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
937,2016,2,2,57,10282,10282,4,4,2,3,0.0,3,1834,1329,16,5,1451,46,38,4,751,232,14,2,40,40,13,91.685,90.559,90.244,5624.978,94.128,92.452,91.723,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
956,2016,21,6,55,18816,13501,4,4,-2,2,0.0,7,1687,401,27,6,603,74,34,4,849,15,14,3,224,87,14,100.338,99.629,99.604,5902.829,104.556,101.464,100.999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
939,2016,4,3,53,31998,6976,4,3,0,1,0.0,4,1205,157,18,4,1210,343,35,4,1246,127,17,4,1324,720,14,96.976,96.741,96.663,5593.995,99.332,98.793,97.727,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
940,2016,5,2,66,616,616,5,5,3,2,0.0,2,138,138,18,2,254,254,31,5,1113,26,14,6,1032,294,13,83.796,83.504,83.113,6100.633,84.089,84.176,84.11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
942,2016,7,6,70,63017,924,6,6,0,2,0.0,5,863,65,23,8,1022,21,43,6,767,165,23,4,413,16,21,74.477,73.849,73.579,5528.313,75.618,75.234,74.332,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
